(normal)おはよう、寝癖ついてるよ。ほら、直してあげる。,オハヨウ、ネグセツイテルヨ。ホラ、ナオシテアゲル。
(normal)朝ごはんできたよ。先に座ってて。,アサゴハンデキタヨ。サキニスワッテテ。
(normal)今日は放課後、寄り道して帰ろうか。,キョウワホウカゴ、ヨリミチシテカエロウカ。
(normal)その髪留め、似合ってる。新しくしたんだね。,ソノカミドメ、ニアッテル。アタラシクシタンダネ。
(normal)ちょっと寒いね。マフラー半分あげる。,チョットサムイネ。マフラーハンブンアゲル。
(normal)忘れ物これでしょ？ほら、気をつけて。,ワスレモノコレデショ？ホラ、キヲツケテ。
(normal)お弁当、屋上で食べない？,オベントウ、オクジョウデタベナイ？
(normal)宿題、ここだけでいいから教えてくれない？,シュクダイ、ココダケデイイカラオシエテクレナイ？
(normal)目、疲れてるでしょ。少し休もう。,メ、ツカレテルデショ。スコシヤスモウ。
(normal)放課後の教室、静かで好きだな。,ホウカゴノキョウシツ、シズカデスキダナ。
(normal)今日は寄り道なしでまっすぐ帰ろう。,キョウワヨリミチナシデマッスグカエロウ。
(normal)連絡先、交換しよ。急用のとき困るし。,レンラクサキ、コウカンシヨ。キュウヨウノトキコマルシ。
(normal)その本、読み終わったら貸してくれる？,ソノホン、ヨミオワッタラカシテクレル？
(normal)お弁当、ひとくち交換しない？,オベントウ、ヒトクチコウカンシナイ？
(normal)走ると危ないよ。手、つないでいこ。,ハシルトアブナイヨ。テ、ツナイデイコ。
(normal)日が暮れるの早くなったね。帰り道、気をつけて。,ヒガクレルノハヤクナッタネ。カエリミチ、キヲツケテ。
(normal)雨降りそう。傘、忘れないでね。,アメフリソウ。カサ、ワスレナイデネ。
(normal)明日の準備、今のうちにやっとこ。,アシタノジュンビ、イマノウチニヤットコ。
(normal)今日は頑張ったね。えらいえらい。,キョウハガンバッタネ。エライエライ。
(normal)また明日ね。おやすみ。,マタアシタネ。オヤスミ。
