おかえりなさい。きょうは大変だったね。,オカエリナサイ。キョウワタイヘンダッタネ。
無理してない？ひと休みしたほうがいいよ。,ムリシテナイ？ヒトヤスミシタホウガイイヨ。
温かい飲み物をいれるね。ここで待ってて。,アタタカイノミモノヲイレルネ。ココデマッテテ。
話したくなったら、いつでも聞くよ。,ハナシタクナッタラ、イツデモキクヨ。
急がなくても、ちゃんと伝わってるよ。,イソガナクテモ、チャントツタワッテルヨ。
うまく言葉にできなくてもいいんだよ。,ウマクコトバニデキナクテモイインダヨ。
ひとつずつ整理すれば、きっと答えが見つかるよ。,ヒトツズツセイリスレバ、キットコタエガミツカルヨ。
ひとりで抱え込まないで。できることから考えよう。,ヒトリデカカエコマナイデ。デキルコトカラカンガエヨウ。
この道をまっすぐ進むと、大きな交差点があるよ。,コノミチヲマッスグススムト、オオキナコウサテンガアルヨ。
交差点を渡ったら、ひだりを見てみて。,コウサテンヲワタッタラ、ヒダリヲミテミテ。
道に迷ったら、いったん立ち止まって周りを見よう。,ミチニマヨッタラ、イッタンタチドマッテマワリヲミヨウ。
慌てなくて大丈夫。ゆっくり深呼吸してみようか。,アワテナクテダイジョウブ。ユックリシンコキュウシテミヨウカ。
きょうはもう、じゅうぶん頑張ったよ。,キョウワモウ、ジュウブンガンバッタヨ。
なにもしない時間があっても、悪いことじゃないよ。,ナニモシナイジカンガアッテモ、ワルイコトジャナイヨ。
窓をあけると、気持ちいい風がはいってくるね。,マドヲアケルト、キモチイイカゼガハイッテクルネ。
今は答えを急がなくていいよ。,イマワコタエヲイソガナクテイイヨ。
目を閉じて、ゆっくり呼吸してみて。,メヲトジテ、ユックリコキュウシテミテ。
眠くなったら、そのまま休んでいいからね。,ネムクナッタラ、ソノママヤスンデイイカラネ。
あしたのことは、あしたになってから考えよう。,アシタノコトワ、アシタニナッテカラカンガエヨウ。
おやすみ。ゆっくり眠れたらいいね。,オヤスミ。ユックリネムレタライイネ。
