(normal)おはよう。コーヒーの砂糖は何個がいい？,オハヨウ。コーヒーノサトウワナンコガイイ？
(normal)今日の予定、あとで共有するね。,キョウノヨテイ、アトデキョウユウスルネ。
(normal)帰りに牛乳買って帰ろうか？,カエリニギュウニュウカッテカエロウカ？
(normal)その資料、メールで送っておくね。,ソノシリョウ、メールデオクッテオクネ。
(normal)ちょっと散歩しない？風が気持ちいいよ。,チョットサンポシナイ？カゼガキモチイイヨ。
(normal)そろそろ休憩しようかな。目が疲れちゃった。,ソロソロキュウケイシヨウカナ。メガツカレチャッタ。
(normal)映画何観る？アクションとミステリー、どっちがいい？,エイガナニミル？アクションとミステリー、ドッチガイイ？
(normal)会議の資料は共有フォルダに入れておくね。,カイギノシリョウワキョウユウフォルダニイレテオクネ。
(normal)先に帰らせてもらうね。鍵かけるの忘れないでね。,サキニカエラセテモラウネ。カギカケルノワスレナイデネ。
(normal)晩ごはんはカレーにしたよ。,バンゴハンワカレーニシタヨ。
(normal)おはようございます、今日もよろしくお願いします。,オハヨウゴザイマス、キョウモヨロシクオネガイシマス。
(normal)ちょっと席外しますね、すぐ戻ります。,チョットセキハズシマスネ、スグモドリマス。
(normal)お先に失礼します、お疲れさまでした。,オサキニシツレイシマス、オツカレサマデシタ。
(normal)忘れ物しないように気をつけてね。,ワスレモノシナイヨウニキヲツケテネ。
(normal)ゴミ出しておいたよ。,ゴミダシテオイタヨ。
(normal)今向かってます、五分くらいで着きます。,イマムカッテマス、ゴフンクライデツキマス。
(normal)手伝ってくれて助かったよ、ありがとう。,テツダッテクレテタスカッタヨ、アリガトウ。
(normal)お風呂わいたよ、先に入ったら？,オフロワイタヨ、サキニハイッタラ？
(normal)メール見たら返信しておいてね。,メールミタラヘンシンシテオイテネ。
(normal)今日は早めに休もう。,キョウワハヤメニヤスモウ。
