おはよう。よく眠れた？,オハヨウ。ヨクネムレタ？
朝は冷えるね。上着を持っていこうかな。,アサワヒエルネ。ウワギヲモッテイコウカナ。
急がなくて大丈夫だよ。まだ時間あるから。,イソガナクテダイジョウブダヨ。マダジカンアルカラ。
先に洗濯物を干しておくね。,サキニセンタクモノヲホシテオクネ。
今日はどこか寄ってから帰る？,キョウワドコカヨッテカラカエル？
予定が変わったら、あとで連絡して。,ヨテイガカワッタラ、アトデレンラクシテ。
近くに新しいお店ができたみたい。,チカクニアタラシイオミセガデキタミタイ。
ちょっと遠回りだけど、景色のいい道を歩こうか。,チョットトオマワリダケド、ケシキノイイミチヲアルコウカ。
今日は何食べたい？,キョウワナニタベタイ？
これ、思ったよりおいしいね。,コレ、オモッタヨリオイシイネ。
飲み物を取ってくるけど、何かいる？,ノミモノヲトッテクルケド、ナニカイル？
残った料理は、明日のお昼に回そう。,ノコッタリョウリワ、アシタノオヒルニマワソウ。
さっきの話、詳しく聞かせて。,サッキノハナシ、クワシクキカセテ。
作業、そこまで進んだんだ。あと少しで終わりそうだね。,サギョウ、ソコマデススンダンダ。アトスコシデオワリソウダネ。
今日は集中できた気がする。,キョウワシュウチュウデキタキガスル。
休憩にしようか。軽く体を動かしたいな。,キュウケイニシヨウカ。カルクカラダヲウゴカシタイナ。
ただいま。今日は思ったより疲れたな。,タダイマ。キョウワオモッタヨリツカレタナ。
おかえり。温かい飲み物でも入れようか？,オカエリ。アタタカイノミモノデモイレヨウカ？
また明日、続き話そう。,マタアシタ、ツヅキハナソウ。
気をつけて帰ってね。着いたらひとこと送って。,キヲツケテカエッテネ。ツイタラヒトコトオクッテ。
